,path,height,width,xmin,ymin,xmax,ymax,classtype,class
0,./oilspill/oil_spill_1.jpg,476,600,23,58,600,435,anomaly,1
1,./oilspill/oil_spill_2.jpg,700,669,102,101,669,573,anomaly,1
2,./oilspill/oil_spill_3.jpg,236,470,1,90,470,179,anomaly,1
3,./oilspill/oil_spill_4.jpg,216,284,82,68,155,192,anomaly,1
4,./oilspill/oil_spill_5.jpg,288,250,129,39,250,139,anomaly,1
5,./oilspill/oil_spill_6.png,304,976,554,51,951,283,anomaly,1
6,./oilspill/oil_spill_7.jpg,1054,1028,441,730,735,975,anomaly,1
7,./oilspill/oil_spill_8.jpg,407,380,27,255,125,317,anomaly,1
8,./oilspill/oil_spill_9.jpg,165,306,11,92,91,165,anomaly,1
9,./oilspill/oil_spill_10.jpg,225,225,27,16,179,188,anomaly,1
10,./oilspill/oil_spill_11.png,500,500,50,67,473,339,anomaly,1
11,./oilspill/oil_spill_12.jpg,288,250,142,26,250,129,anomaly,1
12,./oilspill/oil_spill_13.jpg,244,540,3,20,314,163,anomaly,1
13,./oilspill/oil_spill_14.jpg,231,218,31,30,214,216,anomaly,1
14,./oilspill/oil_spill_15.jpg,600,720,203,122,628,346,anomaly,1
15,./oilspill/oil_spill_16.png,573,388,49,218,388,537,anomaly,1
16,./oilspill/oil_spill_17.jpg,385,496,29,192,272,346,anomaly,1
17,./oilspill/oil_spill_18.jpg,320,320,48,101,215,290,anomaly,1
18,./oilspill/oil_spill_19.jpg,457,625,369,270,625,447,anomaly,1
19,./oilspill/oil_spill_20.jpg,531,700,288,262,591,494,anomaly,1
20,./oilspill/oil_spill_21.jpg,708,800,267,208,800,695,anomaly,1
21,./oilspill/oil_spill_22.jpg,320,320,12,120,313,265,anomaly,1
22,./oilspill/oil_spill_23.jpg,224,224,3,2,214,220,anomaly,1
23,./oilspill/oil_spill_24.jpg,171,295,27,2,180,134,anomaly,1
24,./oilspill/oil_spill_25.jpg,105,150,32,49,122,105,anomaly,1
25,./oilspill/oil_spill_26.jpg,288,250,125,28,250,159,anomaly,1
26,./oilspill/oil_spill_27.jpg,236,470,49,90,469,182,anomaly,1
27,./oilspill/oil_spill_28.jpg,408,448,161,120,385,316,anomaly,1
28,./oilspill/oil_spill_29.jpg,195,347,234,1,320,60,anomaly,1
29,./oilspill/oil_spill_30.jpg,157,157,35,22,157,142,anomaly,1
30,./oilspill/oil_spill_31.jpg,481,507,189,174,457,403,anomaly,1
31,./oilspill/oil_spill_32.jpg,457,625,383,288,625,441,anomaly,1
32,./oilspill/oil_spill_33.jpg,430,525,87,67,358,416,anomaly,1
33,./oilspill/oil_spill_35.jpg,335,670,154,57,603,255,anomaly,1
34,./oilspill/oil_spill_36.jpg,853,1100,61,513,548,743,anomaly,1
35,./oilspill/oil_spill_37.jpg,471,653,248,237,417,368,anomaly,1
36,./oilspill/oil_spill_38.jpg,390,380,161,227,288,368,anomaly,1
37,./oilspill/oil_spill_39.jpeg,317,205,68,112,205,241,anomaly,1
38,./oilspill/oil_spill_40.jpg,380,380,5,188,369,370,anomaly,1
39,./oilspill/oil_spill_41.jpg,377,380,102,142,233,297,anomaly,1
40,./oilspill/oil_spill_42.jpg,407,380,25,223,145,327,anomaly,1
41,./oilspill/oil_spill_43.jpeg,235,312,140,97,295,235,anomaly,1
42,./oilspill/oil_spill_44.jpg,291,491,84,31,384,274,anomaly,1
43,./oilspill/oil_spill_45.jpg,293,448,71,37,348,241,anomaly,1
44,./oilspill/oil_spill_46.jpg,130,183,15,17,183,113,anomaly,1
45,./oilspill/oil_spill_47.jpg,129,179,121,21,168,122,anomaly,1
46,./oilspill/oil_spill_49.jpg,244,540,6,36,162,148,anomaly,1
47,./oilspill/oil_spill_50.jpg,502,500,162,86,339,290,anomaly,1
48,./oilspill/oil_spill_51.png,667,752,222,57,634,239,anomaly,1
49,./oilspill/oil_spill_52.png,667,733,371,224,554,459,anomaly,1
50,./oilspill/oil_spill_53.png,667,741,548,316,741,550,anomaly,1
51,./oilspill/oil_spill_54.png,385,693,340,87,690,237,anomaly,1
